"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","19,812.22","19,720.11","19,827.75","19,577.54","274.32M","0.66%"
"06/28/2024","19,682.87","19,817.01","20,017.71","19,665.85","543.10M","-0.54%"
"06/27/2024","19,789.03","19,740.52","19,850.81","19,701.34","293.17M","0.19%"
"06/26/2024","19,751.05","19,671.07","19,763.55","19,654.18","298.93M","0.25%"
"06/25/2024","19,701.13","19,555.84","19,712.41","19,523.51","326.87M","1.16%"
"06/24/2024","19,474.62","19,648.23","19,723.20","19,472.53","346.08M","-1.15%"
"06/21/2024","19,700.43","19,722.37","19,801.97","19,643.52","1.21B","-0.26%"
"06/20/2024","19,752.30","19,962.97","19,979.93","19,685.03","408.69M","-0.79%"
"06/18/2024","19,908.86","19,904.43","19,940.50","19,837.86","311.24M","0.03%"
"06/17/2024","19,902.75","19,681.86","19,977.84","19,623.71","318.10M","1.24%"
"06/14/2024","19,659.80","19,557.22","19,664.59","19,534.62","269.33M","0.42%"
"06/13/2024","19,576.92","19,609.05","19,639.45","19,473.71","312.35M","0.57%"
"06/12/2024","19,465.18","19,358.26","19,556.89","19,347.28","342.36M","1.33%"
"06/11/2024","19,210.19","19,031.40","19,212.63","18,966.56","262.84M","0.71%"
"06/10/2024","19,074.68","18,945.31","19,089.84","18,940.71","288.32M","0.39%"
"06/07/2024","19,000.95","18,992.58","19,113.88","18,958.68","198.59M","-0.11%"
"06/06/2024","19,021.19","19,053.01","19,071.79","18,978.86","237.11M","-0.07%"
"06/05/2024","19,035.05","18,791.28","19,035.87","18,768.25","261.89M","2.04%"
"06/04/2024","18,654.84","18,598.00","18,697.95","18,521.85","228.38M","0.29%"
"06/03/2024","18,600.97","18,666.72","18,707.22","18,392.57","239.19M","0.35%"
"05/31/2024","18,536.65","18,550.80","18,574.56","18,189.78","573.62M","-0.01%"
"05/30/2024","18,538.66","18,683.25","18,705.26","18,487.76","246.07M","-1.06%"
"05/29/2024","18,736.76","18,708.07","18,814.81","18,706.63","244.18M","-0.70%"
"05/28/2024","18,869.44","18,855.15","18,875.20","18,755.94","246.66M","0.32%"
"05/24/2024","18,808.35","18,669.36","18,851.99","18,664.79","217.31M","0.99%"
"05/23/2024","18,623.39","18,907.14","18,907.54","18,554.89","280.63M","-0.44%"
"05/22/2024","18,705.20","18,733.54","18,756.69","18,606.16","240.74M","-0.05%"
"05/21/2024","18,713.80","18,603.99","18,721.18","18,589.91","208.95M","0.21%"
"05/20/2024","18,674.19","18,559.22","18,703.83","18,549.84","190.68M","0.69%"
"05/17/2024","18,546.23","18,571.82","18,590.37","18,462.25","220.32M","-0.06%"
"05/16/2024","18,557.96","18,589.98","18,669.50","18,553.30","242.77M","-0.21%"
"05/15/2024","18,596.65","18,412.81","18,607.53","18,359.32","266.89M","1.49%"
"05/14/2024","18,322.77","18,187.51","18,339.58","18,175.30","221.74M","0.68%"
"05/13/2024","18,198.61","18,228.40","18,233.49","18,147.57","206.91M","0.21%"
"05/10/2024","18,161.18","18,171.15","18,247.61","18,099.72","202.63M","0.26%"
"05/09/2024","18,113.46","18,095.80","18,138.02","18,012.62","208.61M","0.16%"
"05/08/2024","18,085.01","17,987.71","18,135.34","17,987.71","220.30M","-0.04%"
"05/07/2024","18,091.45","18,106.33","18,156.32","18,061.61","229.73M","-0.01%"
"05/06/2024","18,093.57","17,950.98","18,094.46","17,937.28","227.98M","1.13%"
"05/03/2024","17,890.79","17,848.66","17,926.98","17,784.78","277.48M","1.99%"
"05/02/2024","17,541.54","17,474.91","17,575.80","17,290.64","269.97M","1.29%"
"05/01/2024","17,318.55","17,382.78","17,667.86","17,284.37","323.12M","-0.70%"
"04/30/2024","17,440.69","17,720.35","17,768.87","17,440.69","359.17M","-1.92%"
"04/29/2024","17,782.71","17,801.14","17,820.00","17,671.03","268.21M","0.36%"
"04/26/2024","17,718.30","17,566.22","17,772.78","17,533.08","284.95M","1.65%"
"04/25/2024","17,430.50","17,205.28","17,474.46","17,172.42","312.72M","-0.55%"
"04/24/2024","17,526.80","17,613.66","17,653.66","17,435.33","279.49M","0.32%"
"04/23/2024","17,471.47","17,297.24","17,513.31","17,277.26","236.42M","1.51%"
