"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","91.20","91.88","92.18","90.66","12.28M","0.05%"
"06/28/2024","91.15","91.50","91.82","90.82","12.84M","0.39%"
"06/27/2024","90.80","91.07","91.17","90.29","7.82M","0.23%"
"06/26/2024","90.59","91.59","91.59","90.15","11.56M","-0.98%"
"06/25/2024","91.49","91.20","91.50","90.70","13.84M","0.23%"
"06/24/2024","91.28","89.53","91.63","89.38","15.59M","1.70%"
"06/21/2024","89.75","90.51","90.76","89.62","19.99M","-0.58%"
"06/20/2024","90.27","88.90","90.73","88.62","17.04M","1.84%"
"06/18/2024","88.64","88.84","89.76","88.42","14.64M","0.42%"
"06/17/2024","88.27","87.92","88.67","87.60","14.77M","0.26%"
"06/14/2024","88.04","88.60","88.70","87.67","12.91M","-0.74%"
"06/13/2024","88.70","89.28","89.53","88.25","14.25M","-0.92%"
"06/12/2024","89.52","91.24","91.27","89.07","16.28M","-1.07%"
"06/11/2024","90.49","90.27","90.59","89.44","9.30M","-0.20%"
"06/10/2024","90.67","90.33","91.21","89.99","11.27M","0.76%"
"06/07/2024","89.99","90.18","91.04","89.55","10.04M","-0.40%"
"06/06/2024","90.35","89.57","90.38","89.23","12.75M","0.52%"
"06/05/2024","89.88","90.00","90.14","89.33","10.52M","-0.01%"
"06/04/2024","89.89","89.82","89.97","88.70","17.36M","-0.96%"
"06/03/2024","90.76","92.89","92.92","90.09","20.40M","-2.62%"
"05/31/2024","93.20","91.10","93.27","91.01","16.25M","2.49%"
"05/30/2024","90.94","90.48","91.27","90.45","11.37M","0.29%"
"05/29/2024","90.68","92.05","92.13","90.27","15.03M","-1.77%"
"05/28/2024","92.31","91.69","92.55","91.46","14.45M","1.03%"
"05/24/2024","91.37","91.95","92.19","91.11","9.52M","0.14%"
"05/23/2024","91.24","92.54","92.86","91.08","13.47M","-0.91%"
"05/22/2024","92.08","93.50","93.54","91.71","17.43M","-1.92%"
"05/21/2024","93.88","94.10","94.86","93.81","11.23M","-0.49%"
"05/20/2024","94.34","95.00","95.21","94.11","10.07M","-0.65%"
"05/17/2024","94.96","93.82","95.11","93.79","14.50M","1.40%"
"05/16/2024","93.65","93.70","94.38","93.40","12.29M","-0.28%"
"05/15/2024","93.91","93.50","94.08","92.12","19.40M","0.22%"
"05/14/2024","93.70","93.40","93.77","93.02","12.18M","0.13%"
"05/13/2024","93.58","94.05","94.40","93.18","10.49M","-0.27%"
"05/10/2024","93.83","94.55","94.86","93.58","10.28M","-0.55%"
"05/09/2024","94.35","93.20","94.35","93.20","11.24M","1.34%"
"05/08/2024","93.10","92.67","93.54","92.53","9.91M","-0.12%"
"05/07/2024","93.21","93.43","93.90","93.18","10.47M","-0.10%"
"05/06/2024","93.30","92.86","94.24","92.86","16.72M","0.79%"
"05/03/2024","92.57","92.64","92.74","91.35","19.04M","0.01%"
"05/02/2024","92.56","92.65","93.19","92.12","17.31M","0.58%"
"05/01/2024","92.03","93.39","93.69","91.53","25.47M","-1.59%"
"04/30/2024","93.52","96.00","96.17","93.47","17.70M","-2.98%"
"04/29/2024","96.39","95.46","96.60","95.40","11.12M","0.68%"
"04/26/2024","95.74","95.76","96.11","94.76","16.18M","-0.92%"
"04/25/2024","96.63","96.08","96.92","95.25","13.25M","0.46%"
"04/24/2024","96.19","95.52","96.30","95.06","10.65M","0.07%"
"04/23/2024","96.12","95.15","96.12","94.69","14.33M","0.55%"
"04/22/2024","95.59","94.47","96.24","93.72","15.12M","0.65%"
"04/19/2024","94.97","94.02","95.61","93.88","17.73M","1.20%"
"04/18/2024","93.84","94.45","94.72","93.51","12.78M","-0.31%"
"04/17/2024","94.13","94.20","95.14","93.46","13.71M","-0.29%"
"04/16/2024","94.40","95.05","95.49","93.73","18.25M","-0.87%"
"04/15/2024","95.23","96.59","97.05","95.11","24.35M","-0.94%"
"04/12/2024","96.13","98.34","98.97","95.67","23.29M","-1.63%"
"04/11/2024","97.72","98.10","98.14","96.33","19.60M","-0.07%"
"04/10/2024","97.79","97.22","98.15","96.80","19.60M","0.31%"
"04/09/2024","97.49","97.88","98.14","96.78","17.67M","0.03%"
"04/08/2024","97.46","98.13","98.41","97.29","17.02M","-0.63%"
"04/05/2024","98.08","97.44","98.47","96.85","15.60M","1.07%"
"04/04/2024","97.04","97.25","97.60","96.66","18.47M","-0.06%"
"04/03/2024","97.10","96.80","97.23","96.48","14.57M","0.68%"
"04/02/2024","96.44","95.52","96.54","95.10","19.34M","1.40%"
"04/01/2024","95.11","94.69","95.39","93.76","21.45M","0.74%"
"03/28/2024","94.41","93.95","94.58","93.50","17.31M","1.08%"
"03/27/2024","93.40","92.34","93.42","92.18","16.98M","0.93%"
"03/26/2024","92.54","93.35","93.56","92.36","17.69M","-0.77%"
"03/25/2024","93.26","92.72","93.88","92.70","17.54M","0.93%"
"03/22/2024","92.40","92.64","92.87","92.17","8.97M","-0.22%"
"03/21/2024","92.60","92.21","92.79","91.92","11.67M","0.60%"
"03/20/2024","92.05","91.65","92.38","91.51","16.33M","-0.14%"
"03/19/2024","92.18","91.13","92.25","91.07","14.27M","1.14%"
"03/18/2024","91.14","91.19","91.46","90.43","15.25M","-0.46%"
"03/15/2024","91.56","91.22","92.22","91.01","18.88M","0.30%"
"03/14/2024","91.29","90.72","91.33","90.37","17.97M","1.03%"
"03/13/2024","90.36","89.87","90.85","89.72","21.36M","1.60%"
"03/12/2024","88.94","89.07","89.32","88.46","11.89M","-0.16%"
"03/11/2024","89.08","88.19","89.11","87.53","12.49M","1.03%"
"03/08/2024","88.17","87.74","88.19","87.52","14.13M","0.35%"
"03/07/2024","87.86","87.24","88.35","87.17","12.28M","0.85%"
"03/06/2024","87.12","87.58","88.04","86.93","14.00M","0.31%"
"03/05/2024","86.85","86.08","87.41","85.97","16.09M","0.74%"
"03/04/2024","86.21","87.09","87.32","86.13","16.60M","-1.07%"
"03/01/2024","87.14","86.76","87.54","86.61","16.23M","1.16%"
