"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","41.20","41.28","41.55","41.03","36.13M","0.22%"
"06/28/2024","41.11","41.06","41.37","40.94","44.05M","0.34%"
"06/27/2024","40.97","40.90","41.02","40.72","25.47M","-0.12%"
"06/26/2024","41.02","41.09","41.11","40.82","37.98M","-0.63%"
"06/25/2024","41.28","41.51","41.64","41.16","32.85M","-0.75%"
"06/24/2024","41.59","41.34","41.85","41.24","45.25M","0.63%"
"06/21/2024","41.33","41.39","41.43","41.09","42.53M","-0.39%"
"06/20/2024","41.49","41.18","41.60","41.13","42.87M","0.53%"
"06/18/2024","41.27","40.96","41.27","40.92","38.90M","0.63%"
"06/17/2024","41.01","40.55","41.02","40.48","36.08M","0.89%"
"06/14/2024","40.65","40.50","40.73","40.37","29.08M","-0.32%"
"06/13/2024","40.78","40.81","40.82","40.50","39.50M","-0.07%"
"06/12/2024","40.81","41.27","41.32","40.75","46.40M","-0.10%"
"06/11/2024","40.85","41.12","41.14","40.65","54.58M","-1.14%"
"06/10/2024","41.32","41.30","41.37","41.05","31.62M","-0.39%"
"06/07/2024","41.48","41.30","41.71","41.22","42.27M","0.46%"
"06/06/2024","41.29","41.38","41.50","41.13","39.04M","-0.05%"
"06/05/2024","41.31","41.32","41.36","41.01","23.82M","0.29%"
"06/04/2024","41.19","41.16","41.50","41.00","27.59M","-0.46%"
"06/03/2024","41.38","41.63","41.67","41.01","37.86M","-0.62%"
"05/31/2024","41.64","41.12","41.68","41.00","38.66M","1.46%"
"05/30/2024","41.04","40.86","41.13","40.76","32.77M","0.54%"
"05/29/2024","40.82","40.82","40.95","40.69","40.62M","-0.80%"
"05/28/2024","41.15","41.52","41.52","41.00","31.00M","-1.11%"
"05/24/2024","41.61","41.44","41.62","41.44","23.48M","0.60%"
"05/23/2024","41.36","41.90","41.94","41.20","51.77M","-1.38%"
"05/22/2024","41.94","42.09","42.27","41.85","38.66M","-0.57%"
"05/21/2024","42.18","41.99","42.22","41.97","33.41M","0.64%"
"05/20/2024","41.91","42.40","42.46","41.89","35.72M","-1.37%"
"05/17/2024","42.49","42.25","42.49","42.20","29.81M","0.73%"
"05/16/2024","42.18","42.22","42.38","42.16","36.03M","0.00%"
"05/15/2024","42.18","41.97","42.22","41.96","36.14M","0.74%"
"05/14/2024","41.87","41.82","41.90","41.66","30.64M","0.50%"
"05/13/2024","41.66","41.95","42.02","41.66","29.57M","-0.41%"
"05/10/2024","41.83","41.82","41.91","41.77","34.31M","0.38%"
"05/09/2024","41.67","41.26","41.67","41.25","31.59M","0.75%"
"05/08/2024","41.36","41.17","41.43","41.06","28.39M","0.36%"
"05/07/2024","41.21","41.17","41.29","41.10","42.60M","0.34%"
"05/06/2024","41.07","40.86","41.07","40.77","42.34M","1.28%"
"05/03/2024","40.55","40.70","40.79","40.35","45.01M","0.22%"
"05/02/2024","40.46","40.64","40.69","40.17","37.09M","0.25%"
"05/01/2024","40.36","40.33","40.85","40.28","54.72M","0.00%"
"04/30/2024","40.36","40.67","40.76","40.36","34.48M","-0.98%"
"04/29/2024","40.76","40.81","40.99","40.61","36.60M","-0.15%"
"04/26/2024","40.82","40.81","41.04","40.72","35.80M","-0.15%"
"04/25/2024","40.88","40.92","41.03","40.53","50.37M","-0.58%"
"04/24/2024","41.12","41.02","41.17","40.91","33.96M","-0.02%"
"04/23/2024","41.13","41.06","41.23","40.95","36.49M","0.64%"
"04/22/2024","40.87","40.60","41.10","40.43","50.70M","1.21%"
"04/19/2024","40.38","40.05","40.46","39.97","55.51M","1.38%"
"04/18/2024","39.83","39.87","40.18","39.74","48.89M","0.35%"
"04/17/2024","39.69","39.77","39.94","39.53","41.56M","0.25%"
"04/16/2024","39.59","39.89","39.98","39.53","66.75M","-0.68%"
"04/15/2024","39.86","40.58","40.74","39.74","71.80M","-0.50%"
"04/12/2024","40.06","40.33","40.50","39.90","81.23M","-1.33%"
"04/11/2024","40.60","40.87","40.93","40.35","56.87M","-0.71%"
"04/10/2024","40.89","41.11","41.27","40.76","59.49M","-1.49%"
"04/09/2024","41.51","41.77","41.88","41.17","51.97M","-0.57%"
"04/08/2024","41.75","41.58","41.82","41.56","35.17M","0.43%"
"04/05/2024","41.57","41.34","41.67","41.20","47.54M","0.95%"
"04/04/2024","41.18","42.00","42.08","41.13","52.66M","-1.13%"
"04/03/2024","41.65","41.68","41.96","41.53","39.72M","-0.05%"
"04/02/2024","41.67","41.76","41.81","41.60","36.36M","-0.53%"
"04/01/2024","41.89","42.16","42.19","41.81","37.54M","-0.55%"
"03/28/2024","42.12","41.94","42.22","41.87","41.49M","0.55%"
"03/27/2024","41.89","41.60","41.90","41.49","36.67M","1.18%"
"03/26/2024","41.40","41.41","41.53","41.27","30.14M","0.34%"
"03/25/2024","41.26","41.39","41.46","41.26","31.78M","-0.39%"
"03/22/2024","41.42","41.95","42.03","41.39","32.03M","-1.15%"
"03/21/2024","41.90","41.66","42.00","41.61","49.21M","0.82%"
"03/20/2024","41.56","41.02","41.59","40.95","52.26M","1.19%"
"03/19/2024","41.07","40.90","41.09","40.88","36.75M","0.49%"
"03/18/2024","40.87","40.78","40.92","40.58","39.14M","0.20%"
"03/15/2024","40.79","40.60","40.98","40.52","67.57M","-0.10%"
"03/14/2024","40.83","41.17","41.25","40.61","65.56M","-0.80%"
"03/13/2024","41.16","40.94","41.17","40.91","43.47M","0.73%"
"03/12/2024","40.86","40.78","40.98","40.64","53.20M","0.42%"
"03/11/2024","40.69","40.47","40.73","40.40","36.23M","0.17%"
"03/08/2024","40.62","40.61","40.83","40.56","47.27M","0.17%"
"03/07/2024","40.55","40.76","40.83","40.40","35.51M","-0.15%"
"03/06/2024","40.61","40.46","40.73","40.28","58.46M","0.52%"
"03/05/2024","40.40","40.25","40.63","40.25","50.77M","0.02%"
"03/04/2024","40.39","40.22","40.50","40.21","53.41M","0.25%"
"03/01/2024","40.29","40.33","40.42","40.15","40.79M","-0.12%"
"02/29/2024","40.34","40.46","40.55","40.17","37.63M","-0.05%"
"02/28/2024","40.36","40.13","40.50","40.12","40.04M","0.37%"
"02/27/2024","40.21","40.14","40.22","39.94","42.60M","0.27%"
"02/26/2024","40.10","40.26","40.53","40.03","38.37M","-0.50%"
"02/23/2024","40.30","40.25","40.47","40.22","42.19M","0.50%"
"02/22/2024","40.10","39.86","40.24","39.79","55.19M","1.16%"
"02/21/2024","39.64","39.47","39.64","39.33","40.26M","0.30%"
"02/20/2024","39.52","39.35","39.66","39.31","39.95M","-0.28%"
"02/16/2024","39.63","39.73","39.81","39.55","37.90M","-0.35%"
"02/15/2024","39.77","39.22","39.85","39.21","58.11M","1.71%"
