"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","120.56","122.44","122.69","120.29","10.01M","-1.07%"
"06/28/2024","121.87","122.16","122.96","121.28","9.80M","0.04%"
"06/27/2024","121.82","121.81","122.04","121.38","4.80M","0.11%"
"06/26/2024","121.69","121.86","121.88","121.21","7.35M","-0.27%"
"06/25/2024","122.02","122.97","122.97","121.44","11.37M","-0.85%"
"06/24/2024","123.07","122.88","124.21","122.61","8.65M","0.08%"
"06/21/2024","122.97","123.21","123.28","121.92","8.23M","-0.21%"
"06/20/2024","123.23","123.01","123.56","122.74","6.35M","0.06%"
"06/18/2024","123.15","122.46","123.16","122.22","8.18M","0.54%"
"06/17/2024","122.49","120.73","122.68","120.54","12.52M","1.11%"
"06/14/2024","121.15","121.33","121.33","119.66","15.32M","-1.01%"
"06/13/2024","122.38","123.00","123.07","121.34","8.06M","-0.64%"
"06/12/2024","123.17","123.14","123.89","122.63","11.11M","0.95%"
"06/11/2024","122.01","122.05","122.17","121.20","11.22M","-0.57%"
"06/10/2024","122.71","122.15","122.88","122.09","6.64M","0.31%"
"06/07/2024","122.33","121.89","123.14","121.58","7.04M","0.11%"
"06/06/2024","122.20","122.79","123.09","121.71","6.52M","-0.59%"
"06/05/2024","122.93","122.16","122.94","121.44","8.67M","1.01%"
"06/04/2024","121.70","121.75","122.23","121.01","10.06M","-0.25%"
"06/03/2024","122.00","123.91","123.96","120.87","15.24M","-1.22%"
"05/31/2024","123.51","122.32","123.56","121.33","9.70M","1.21%"
"05/30/2024","122.03","121.36","122.11","121.33","7.82M","0.68%"
"05/29/2024","121.20","121.90","121.99","121.10","16.73M","-1.42%"
"05/28/2024","122.94","124.41","124.41","122.53","8.53M","-1.22%"
"05/24/2024","124.46","124.30","124.73","123.79","7.56M","0.51%"
"05/23/2024","123.83","125.61","125.68","123.60","9.08M","-1.18%"
"05/22/2024","125.31","124.97","125.63","124.63","7.91M","0.12%"
"05/21/2024","125.16","125.34","125.36","124.83","6.01M","-0.33%"
"05/20/2024","125.57","125.36","126.03","125.24","4.34M","0.19%"
"05/17/2024","125.33","125.29","125.48","124.71","5.71M","0.11%"
"05/16/2024","125.19","125.72","125.96","125.14","7.14M","-0.60%"
"05/15/2024","125.94","125.78","126.03","125.56","8.40M","0.66%"
"05/14/2024","125.12","125.39","125.61","124.85","5.11M","-0.02%"
"05/13/2024","125.15","125.96","126.10","125.08","5.95M","-0.42%"
"05/10/2024","125.68","126.14","126.22","125.44","6.04M","0.07%"
"05/09/2024","125.59","124.59","125.59","124.45","6.68M","1.00%"
"05/08/2024","124.35","123.61","124.51","123.59","5.06M","0.00%"
